,D,pos,vel,des_vel,normals,dists,controller: [obstacle aware]
68,"[[ 23.64955988  31.21601592   4.44427328]
 [ 31.21601592 152.03562547   9.38923039]
 [  4.44427328   9.38923039  27.42612011]]",[0.48214633 0.37422504 0.27398535],[ 0.10197316 -0.14101976 -0.00728453],[-0.00907256 -0.13215559  0.09091977],"[[0.22487824]
 [0.97139216]
 [0.07633514]]",[1.65673731],
69,"[[ 26.0708194   35.251022     5.09416201]
 [ 35.251022   150.13090405   7.4641214 ]
 [  5.09416201   7.4641214   28.58263472]]",[0.4849717  0.37051142 0.27379898],[ 0.10046663 -0.12613366 -0.00802221],[-0.00633469 -0.12697998  0.09795065],"[[0.25630489]
 [0.96442738]
 [0.06471186]]",[1.62232815],
70,"[[ 26.14884343  35.11679553   5.88820189]
 [ 35.11679553 150.01744791   8.41344604]
 [  5.88820189   8.41344604  30.85454303]]",[0.48678606 0.36819675 0.27363209],[ 0.10343125 -0.13359296 -0.00932691],[-0.0030223  -0.12142598  0.10436743],"[[0.25612774]
 [0.96377051]
 [0.07446459]]",[1.57522695],
71,"[[ 25.32008088  32.79617592   6.63112026]
 [ 32.79617592 151.30581596   7.86451885]
 [  6.63112026   7.86451885  32.74327662]]",[0.48857682 0.36571567 0.27339571],[ 0.07545337 -0.10526451 -0.00898427],[ 0.00622594 -0.11653384  0.11204825],"[[0.23933826]
 [0.96823994]
 [0.07230912]]",[1.59539025],
72,"[[ 28.35561145  38.37562924   6.27347738]
 [ 38.37562924 147.96278568   8.74506771]
 [  6.27347738   8.74506771  28.21722239]]",[0.48965655 0.36428668 0.27330898],[ 0.08657611 -0.11396447 -0.00797532],[-0.00505028 -0.13193268  0.09519565],"[[0.28240832]
 [0.95620725]
 [0.0768976 ]]",[1.55012981],
73,"[[ 29.24162259  39.57698193   6.77263422]
 [ 39.57698193 146.98776165   9.59660407]
 [  6.77263422   9.59660407  28.38842544]]",[0.49055154 0.36309982 0.27323036],[ 0.09920463 -0.13364843 -0.01055976],[-0.00563324 -0.13304913  0.09454174],"[[0.29266482]
 [0.9524732 ]
 [0.08451096]]",[1.56035487],
74,"[[ 29.80824276  40.28262185   6.95797506]
 [ 40.28262185 146.50143772   9.49565031]
 [  6.95797506   9.49565031  28.49310603]]",[0.49181151 0.36134511 0.27310092],[ 0.10136575 -0.14580723 -0.01297537],[-0.00528566 -0.13298096  0.09513744],"[[0.29864461]
 [0.95062133]
 [0.08444219]]",[1.5472736],
75,"[[ 30.43435363  41.06830601   7.27593259]
 [ 41.06830601 145.85031622   9.86818815]
 [  7.27593259   9.86818815  28.69248106]]",[0.49373967 0.35850579 0.27292454],[ 0.08450612 -0.11785688 -0.0010673 ],[-0.00547263 -0.13348227  0.09547157],"[[0.30547309]
 [0.94810888]
 [0.08818016]]",[1.54574026],
76,"[[ 30.83583155  41.54118192   7.41012601]
 [ 41.54118192 145.50189238   9.81669918]
 [  7.41012601   9.81669918  28.7658433 ]]",[0.49459991 0.35733579 0.27288276],[ 0.08927554 -0.1179294  -0.00268126],[-0.00525088 -0.13346766  0.09585489],"[[0.30956176]
 [0.94677058]
 [0.08830059]]",[1.53726378],
77,"[[ 31.06999533  41.34514523   7.9234699 ]
 [ 41.34514523 146.07612833   6.59987027]
 [  7.9234699    6.59987027  33.9351135 ]]",[0.49579832 0.35570394 0.2727782 ],[ 0.10568159 -0.1456139  -0.01052932],[ 0.00455757 -0.11421858  0.11765594],"[[0.3084789 ]
 [0.94872119]
 [0.06905698]]",[1.52412011],
