,D,eigen_values_obs,pos,vel,des_vel,normals,dists
33,"[[ 1.36717975e+01 -3.88451045e+00 -9.00119476e-01]
 [-3.88451045e+00  5.95119199e+01  5.39572161e-02]
 [-9.00119476e-01  5.39572161e-02  1.25925068e+01]]","[[60.          0.          0.        ]
 [ 0.         13.91877729  0.        ]
 [ 0.          0.         12.        ]]",[0.40780239 0.42373357 0.1845228 ],[ 0.09094738 -0.11302575  0.03829259],[-0.03113319 -0.16185644  0.0291613 ],"[[-0.08592949]
 [ 0.99629282]
 [ 0.00409063]]",[4.42614394]
34,"[[13.6808467  -3.90917223 -0.9133373 ]
 [-3.90917223 59.55331326  0.07048662]
 [-0.9133373   0.07048662 12.60594544]]","[[60.          0.          0.        ]
 [ 0.         13.94226399  0.        ]
 [ 0.          0.         12.        ]]",[0.40919673 0.42200785 0.18512611],[ 0.09304891 -0.11272811  0.04298755],[-0.03124435 -0.16148339  0.02948   ],"[[-0.08582415]
 [ 0.99630189]
 [ 0.004095  ]]",[4.37871255]
35,"[[13.691885   -3.93482025 -0.92656489]
 [-3.93482025 59.57971393  0.0895524 ]
 [-0.92656489  0.0895524  12.61843952]]","[[60.          0.          0.        ]
 [ 0.         13.96488846  0.        ]
 [ 0.          0.         12.        ]]",[0.41033751 0.42057837 0.18562508],[ 0.08863379 -0.11022409  0.03875252],[-0.03133588 -0.16118622  0.02974108],"[[-0.08595794]
 [ 0.9962896 ]
 [ 0.00427334]]",[4.33944832]
36,"[[13.70426215 -3.95808762 -0.94256021]
 [-3.95808762 59.60439159  0.11094727]
 [-0.94256021  0.11094727 12.63372067]]","[[60.          0.          0.        ]
 [ 0.         13.99178579  0.        ]
 [ 0.          0.         12.        ]]",[0.41172124 0.41886214 0.18620999],[ 0.08673005 -0.10630788  0.03509347],[-0.03144855 -0.1608394   0.03004593],"[[-0.08607437]
 [ 0.99627846]
 [ 0.00451984]]",[4.29358823]
37,"[[13.70968026 -3.96056932 -0.9530998 ]
 [-3.96056932 59.623904    0.11036975]
 [-0.9530998   0.11036975 12.6457556 ]]","[[60.          0.          0.        ]
 [ 0.         14.01122124  0.        ]
 [ 0.          0.         12.        ]]",[0.41309822 0.41727702 0.18676706],[ 0.09370655 -0.10713281  0.03705736],[-0.03154773 -0.16049915  0.03032973],"[[-0.08585176]
 [ 0.99629839]
 [ 0.00435785]]",[4.25220216]
38,"[[13.72051608 -3.97372573 -0.96775326]
 [-3.97372573 59.63579468  0.12332369]
 [-0.96775326  0.12332369 12.6603044 ]]","[[60.          0.          0.        ]
 [ 0.         14.03592193  0.        ]
 [ 0.          0.         12.        ]]",[0.41450107 0.41572854 0.1873462 ],[ 0.092859   -0.10189134  0.03963418],[-0.03164505 -0.16016858  0.03060826],"[[-0.08595488]
 [ 0.99628868]
 [ 0.00454075]]",[4.21213771]
39,"[[13.72776521 -3.97657048 -0.97715441]
 [-3.97657048 59.64491226  0.11186668]
 [-0.97715441  0.11186668 12.67129295]]","[[60.          0.          0.        ]
 [ 0.         14.05490807  0.        ]
 [ 0.          0.         12.        ]]",[0.41579382 0.41430576 0.18792118],[ 0.0962527  -0.10598018  0.04292691],[-0.03173358 -0.15984071  0.0308767 ],"[[-0.08588825]
 [ 0.99629577]
 [ 0.00423536]]",[4.17460293]
40,"[[13.73450771 -3.97724155 -0.98860744]
 [-3.97724155 59.65120263  0.10769693]
 [-0.98860744  0.10769693 12.6844658 ]]","[[60.          0.          0.        ]
 [ 0.         14.07549834  0.        ]
 [ 0.          0.         12.        ]]",[0.41705623 0.41287647 0.18846644],[ 0.09750831 -0.11326017  0.03905275],[-0.03181425 -0.15951074  0.03115945],"[[-0.08582254]
 [ 0.99630195]
 [ 0.00411348]]",[4.13659706]
41,"[[13.74368034 -3.97926166 -1.00476576]
 [-3.97926166 59.65496346  0.11135857]
 [-1.00476576  0.11135857 12.70236498]]","[[60.          0.          0.        ]
 [ 0.         14.10265192  0.        ]
 [ 0.          0.         12.        ]]",[0.41854091 0.41118122 0.18907594],[ 0.09866776 -0.11355187  0.03977367],[-0.03190715 -0.15912224  0.03150365],"[[-0.08582592]
 [ 0.99630136]
 [ 0.00418536]]",[4.09173559]
42,"[[13.75008091 -3.97742981 -1.02258298]
 [-3.97742981 59.65644295  0.13848435]
 [-1.02258298  0.13848435 12.72119448]]","[[60.          0.          0.        ]
 [ 0.         14.12808229  0.        ]
 [ 0.          0.         12.        ]]",[0.41980265 0.40976333 0.18958984],[ 0.09469979 -0.10687384  0.03713982],[-0.031978   -0.15881464  0.03178637],"[[-0.08579215]
 [ 0.9963016 ]
 [ 0.00477753]]",[4.05521525]
43,"[[13.76270108 -3.98442114 -1.04295279]
 [-3.98442114 59.655461    0.14696748]
 [-1.04295279  0.14696748 12.74352413]]","[[60.          0.          0.        ]
 [ 0.         14.16168675  0.        ]
 [ 0.          0.         12.        ]]",[0.42146898 0.40794824 0.19024579],[ 0.09927153 -0.1079617   0.03748884],[-0.03207063 -0.15837685  0.03218008],"[[-0.08596592]
 [ 0.99628555]
 [ 0.00499572]]",[4.00628848]
