,D,eigen_values_obs,pos,vel,des_vel,normals,dists
63,"[[ 13.62711153   7.09038735  -2.37800975]
 [  7.09038735  42.89744732 -10.36254119]
 [ -2.37800975 -10.36254119  15.47544115]]",,[0.43362048 0.37597602 0.17990583],[ 0.09206478 -0.14160214  0.01902804],[-0.03316879 -0.14453806  0.0484759 ],"[[0.05579868]
 [0.99837533]
 [0.01154132]]",[2.77044762]
64,"[[ 13.62912351   7.08783262  -2.39938153]
 [  7.08783262  42.83705496 -10.43899654]
 [ -2.39938153 -10.43899654  15.53382153]]",,[0.43427306 0.37500461 0.18003936],[ 0.09163236 -0.13545656  0.02069643],[-0.033156   -0.1442519   0.04883233],"[[0.05578168]
 [0.99837521]
 [0.01163352]]",[2.74731348]
65,"[[ 13.6306201    7.07714468  -2.44078368]
 [  7.07714468  42.71590784 -10.59338053]
 [ -2.44078368 -10.59338053  15.65347206]]",,[0.43546537 0.37326991 0.18028297],[ 0.08716472 -0.12830525  0.01944176],[-0.03309811 -0.14365096  0.04954271],"[[0.05572196]
 [0.99837751]
 [0.01172206]]",[2.70610837]
66,"[[ 13.63076795   7.06834345  -2.46713655]
 [  7.06834345  42.63678025 -10.69347024]
 [ -2.46713655 -10.69347024  15.7324518 ]]",,[0.43624321 0.37218133 0.18044992],[ 0.09931681 -0.13756883  0.02262663],[-0.03305002 -0.14325085  0.05000031],"[[0.0557427 ]
 [0.99837884]
 [0.01150822]]",[2.68001362]
67,"[[ 13.62956604   7.05209645  -2.50535979]
 [  7.05209645  42.51859396 -10.84217418]
 [ -2.50535979 -10.84217418  15.85184   ]]",,[0.43738133 0.37059864 0.18070199],[ 0.10375944 -0.14579183  0.02141902],[-0.03296662 -0.14266609  0.0506842 ],"[[0.05577669]
 [0.9983791 ]
 [0.01131944]]",[2.64210684]
68,"[[ 13.62647847   7.03091249  -2.54441786]
 [  7.03091249  42.39310472 -10.99896472]
 [ -2.54441786 -10.99896472  15.98041681]]",,[0.43853968 0.36897149 0.18095164],[ 0.10419923 -0.14621888  0.02292412],[-0.03286275 -0.1420585   0.05140957],"[[0.05587578]
 [0.99837388]
 [0.01129127]]",[2.60318334]
69,"[[ 13.62812976   7.02089013  -2.58243424]
 [  7.02089013  42.27577989 -11.13608234]
 [ -2.58243424 -11.13608234  16.09609035]]",,[0.43955074 0.36753696 0.18117014],[ 0.10038808 -0.14419209  0.0188819 ],[-0.03281752 -0.14151712  0.05205304],"[[0.05580369]
 [0.99837837]
 [0.01125102]]",[2.56890826]
70,"[[ 13.72231595   7.1970579   -2.69060579]
 [  7.1970579   42.07441373 -11.24325979]
 [ -2.69060579 -11.24325979  16.20327033]]",,[0.44032489 0.36643535 0.18135706],[ 0.09572675 -0.13623374  0.02292959],[-0.0336205  -0.14049032  0.05252203],"[[0.05467755]
 [0.99850189]
 [0.00208364]]",[2.53596358]
71,"[[ 13.64707984   7.03787422  -2.65524551]
 [  7.03787422  42.07241807 -11.34570616]
 [ -2.65524551 -11.34570616  16.28050209]]",,[0.44137553 0.36492183 0.1816136 ],[ 0.09450542 -0.13664506  0.02228114],[-0.03288605 -0.14052015  0.05301537],"[[0.05544438]
 [0.99841203]
 [0.00996677]]",[2.51224501]
72,"[[ 13.63269872   6.98390494  -2.70860121]
 [  6.98390494  41.87380814 -11.58610168]
 [ -2.70860121 -11.58610168  16.49349315]]",,[0.44237937 0.36346414 0.18184931],[ 0.10144781 -0.14783776  0.02372652],[-0.03262894 -0.13957103  0.0541305 ],"[[0.05561578]
 [0.99840449]
 [0.00976557]]",[2.47455831]
73,"[[ 13.70957128   7.12343514  -2.8068851 ]
 [  7.12343514  41.68190257 -11.6957182 ]
 [ -2.8068851  -11.6957182   16.60852615]]",,[0.44342676 0.36193733 0.18209733],[ 0.10314525 -0.15252604  0.02371476],[-0.03329442 -0.13873107  0.05466494],"[[0.05653909]
 [0.99839748]
 [0.00241019]]",[2.43130037]
74,"[[ 13.63458941   6.95438279  -2.79461916]
 [  6.95438279  41.58751577 -11.88974509]
 [ -2.79461916 -11.88974509  16.77789481]]",,[0.44423599 0.36076429 0.18228763],[ 0.09926686 -0.14582083  0.02375241],[-0.03267176 -0.13900243  0.05585814],"[[0.07492535]
 [0.9966746 ]
 [0.03203031]]",[2.44643849]
75,"[[ 13.59408359   6.83515233  -2.85071913]
 [  6.83515233  41.30794062 -12.22338626]
 [ -2.85071913 -12.22338626  17.09797579]]",,[0.44560992 0.35882864 0.18261372],[ 0.0955192  -0.13446057  0.02326273],[-0.03212487 -0.13774582  0.05744929],"[[0.07506332]
 [0.99676836]
 [0.02860664]]",[2.38567352]
76,"[[ 13.61234803   6.87988088  -2.84817521]
 [  6.87988088  41.35641685 -12.1531492 ]
 [ -2.84817521 -12.1531492   17.03123512]]",,[0.44640489 0.35773668 0.18280789],[ 0.10109797 -0.13606636  0.02505289],[-0.03231021 -0.13786752  0.05707524],"[[0.07026289]
 [0.99736172]
 [0.01824081]]",[2.34160026]
77,"[[ 13.57273098   6.78575611  -2.84575939]
 [  6.78575611  41.27804348 -12.27840581]
 [ -2.84575939 -12.27840581  17.14922554]]",,[0.44733184 0.35650041 0.18303425],[ 0.10077038 -0.13493977  0.02490879],[-0.03186224 -0.13747387  0.05765276],"[[0.07489933]
 [0.99696434]
 [0.02126479]]",[2.31904032]
