,D,eigen_values_obs,pos,vel,des_vel,normals,dists
35,"[[12.67520224  4.85891509 -0.34204855]
 [ 4.85891509 59.49434437  0.6001918 ]
 [-0.34204855  0.6001918  12.92147294]]","[[60.          0.          0.        ]
 [ 0.         13.09101955  0.        ]
 [ 0.          0.         12.        ]]",[0.41405389 0.42159298 0.17381578],[ 0.11042767 -0.13102735 -0.01168178],[-0.03224078 -0.15672371  0.0347315 ],"[[0.10204206]
 [0.99470843]
 [0.01193989]]",[3.89694233]
36,"[[12.6761461   4.85029982 -0.34793295]
 [ 4.85029982 59.49601439  0.60428376]
 [-0.34793295  0.60428376 12.93565585]]","[[60.          0.          0.        ]
 [ 0.         13.10781634  0.        ]
 [ 0.          0.         12.        ]]",[0.41512699 0.42032436 0.1736935 ],[ 0.10250878 -0.12196617 -0.01239662],[-0.03229588 -0.15650345  0.03496448],"[[0.10186273]
 [0.99472586]
 [0.01201876]]",[3.86972321]
37,"[[12.68181546  4.8624772  -0.36318541]
 [ 4.8624772  59.49623489  0.47612867]
 [-0.36318541  0.47612867 12.92690811]]","[[60.          0.          0.        ]
 [ 0.         13.10495846  0.        ]
 [ 0.          0.         12.        ]]",[0.41620588 0.41906006 0.17358342],[ 0.11068496 -0.12870195 -0.01253532],[-0.0324238  -0.15616071  0.03522929],"[[0.10214814]
 [0.99472597]
 [0.00927321]]",[3.84238931]
38,"[[12.67755145  4.81051001 -0.37580569]
 [ 4.81051001 59.50739467  0.44971352]
 [-0.37580569  0.44971352 12.93642546]]","[[60.          0.          0.        ]
 [ 0.         13.12137158  0.        ]
 [ 0.          0.         12.        ]]",[0.41733525 0.41775494 0.17348142],[ 0.10989441 -0.13224106 -0.0140768 ],[-0.03249123 -0.15591488  0.03547867],"[[0.10106048]
 [0.99484225]
 [0.00869919]]",[3.81708284]
39,"[[12.65828054  4.62556001 -0.39249083]
 [ 4.62556001 59.54181674  0.57999656]
 [-0.39249083  0.57999656 12.97486102]]","[[60.         0.         0.       ]
 [ 0.        13.1749583  0.       ]
 [ 0.         0.        12.       ]]",[0.41852887 0.41638963 0.17339182],[ 0.12072915 -0.13963609 -0.00974156],[-0.03260945 -0.1557939   0.03572145],"[[0.0971422 ]
 [0.99520449]
 [0.01146382]]",[3.79273182]
40,"[[12.6614053   4.64191284 -0.39024667]
 [ 4.64191284 59.53577244  0.69040325]
 [-0.39024667  0.69040325 13.01646251]]","[[60.          0.          0.        ]
 [ 0.         13.21364025  0.        ]
 [ 0.          0.         12.        ]]",[0.41975667 0.41500217 0.17332522],[ 0.12677958 -0.14085215 -0.00482767],[-0.03260993 -0.15554708  0.03604989],"[[0.09746752]
 [0.99514284]
 [0.01381364]]",[3.76219047]
41,"[[12.66301979  4.63443349 -0.39753486]
 [ 4.63443349 59.53660727  0.71266263]
 [-0.39753486  0.71266263 13.04336242]]","[[60.          0.          0.        ]
 [ 0.         13.24298948  0.        ]
 [ 0.          0.         12.        ]]",[0.42096156 0.41365119 0.17326578],[ 0.11621785 -0.13155843 -0.00564214],[-0.0326487  -0.15519639  0.03641047],"[[0.09730845]
 [0.99515183]
 [0.01427964]]",[3.72848487]
42,"[[12.66535782  4.63471776 -0.40860563]
 [ 4.63471776 59.53862218  0.63635976]
 [-0.40860563  0.63635976 13.04601902]]","[[60.          0.          0.        ]
 [ 0.         13.24999901  0.        ]
 [ 0.          0.         12.        ]]",[0.42212171 0.41235341 0.17321293],[ 0.11527574 -0.12884118 -0.00582622],[-0.03269277 -0.15488979  0.03670667],"[[0.09733199]
 [0.9951717 ]
 [0.01264039]]",[3.6958306]
43,"[[12.67151731  4.66767417 -0.41200136]
 [ 4.66767417 59.53225034  0.63036123]
 [-0.41200136  0.63036123 13.06199767]]","[[60.          0.          0.        ]
 [ 0.         13.26576531  0.        ]
 [ 0.          0.         12.        ]]",[0.4232663  0.41108225 0.17317007],[ 0.11480202 -0.12758656 -0.00469868],[-0.03274235 -0.15463241  0.03698509],"[[0.09803132]
 [0.99510478]
 [0.01250344]]",[3.66676474]
44,"[[12.67789435  4.71353763 -0.40536077]
 [ 4.71353763 59.5196056   0.75529202]
 [-0.40536077  0.75529202 13.10858762]]","[[60.          0.          0.        ]
 [ 0.         13.30608757  0.        ]
 [ 0.          0.         12.        ]]",[0.42445325 0.40977633 0.17313851],[ 0.11851833 -0.13026893 -0.00216955],[-0.03272899 -0.15438768  0.03730849],"[[0.09897487]
 [0.99497428]
 [0.0151707 ]]",[3.63830435]
45,"[[12.67793659  4.70615846 -0.40899625]
 [ 4.70615846 59.51956672  0.80316256]
 [-0.40899625  0.80316256 13.14013872]]","[[60.          0.          0.        ]
 [ 0.         13.33764203  0.        ]
 [ 0.          0.         12.        ]]",[0.4256689  0.40845275 0.17311351],[ 0.11953513 -0.13355354 -0.0053207 ],[-0.03271005 -0.15409454  0.03763297],"[[0.09880985]
 [0.9949746 ]
 [0.01619112]]",[3.6068654]
46,"[[12.68193658  4.71954934 -0.41619142]
 [ 4.71954934 59.51777283  0.77529985]
 [-0.41619142  0.77529985 13.15365232]]","[[60.          0.          0.        ]
 [ 0.         13.35336174  0.        ]
 [ 0.          0.         12.        ]]",[0.42690686 0.40711608 0.17308651],[ 0.12025276 -0.13142926 -0.00177805],[-0.0327554  -0.15379297  0.03793144],"[[0.09910072]
 [0.99495534]
 [0.01558593]]",[3.57482779]
47,"[[12.68457631  4.7289577  -0.41921341]
 [ 4.7289577  59.51501083  0.80235131]
 [-0.41921341  0.80235131 13.17783384]]","[[60.          0.          0.        ]
 [ 0.         13.37742098  0.        ]
 [ 0.          0.         12.        ]]",[0.42812862 0.4058144  0.17306785],[ 0.1196198  -0.12736284 -0.00169957],[-0.03277256 -0.15355539  0.0382095 ],"[[0.09929515]
 [0.99492679]
 [0.01616019]]",[3.54603512]
