,D,eigen_values_obs,pos,vel,des_vel,normals,dists
49,"[[13.75323525  7.70389084 -0.83228668]
 [ 7.70389084 45.85166597 -3.65715081]
 [-0.83228668 -3.65715081 12.39509878]]",,[0.4924187  0.46558042 0.2376195 ],[ 0.10447345 -0.10975013  0.00286744],[-0.03805215 -0.16720494  0.01806392],"[[0.04686412]
 [0.9967131 ]
 [0.06608133]]",[5.66039935]
50,"[[13.7488733   7.69414463 -0.83726903]
 [ 7.69414463 45.85028609 -3.68355389]
 [-0.83726903 -3.68355389 12.40084061]]",,[0.49384036 0.46407804 0.23765419],[ 0.10856327 -0.11538505  0.00163594],[-0.03797678 -0.16707834  0.0181813 ],"[[0.05395231]
 [0.99601765]
 [0.07097882]]",[5.61639052]
51,"[[13.75120672  7.69837682 -0.84362972]
 [ 7.69837682 45.84238146 -3.70863099]
 [-0.84362972 -3.70863099 12.40641182]]",,[0.49472501 0.46314279 0.23766954],[ 0.10858749 -0.11502351  0.00108537],[-0.0379708  -0.16692118  0.01829212],"[[0.05403397]
 [0.99606495]
 [0.07024915]]",[5.5898485]
52,"[[13.76859863  7.73364714 -0.85575189]
 [ 7.73364714 45.81733835 -3.7419927 ]
 [-0.85575189 -3.7419927  12.41406302]]",,[0.49569089 0.46212544 0.23768677],[ 0.10571437 -0.11124092  0.002111  ],[-0.03812527 -0.16671243  0.01844724],"[[0.04773706]
 [0.99650927]
 [0.06848692]]",[5.55713296]
53,"[[13.79470369  7.78604089 -0.87517936]
 [ 7.78604089 45.77851895 -3.79682857]
 [-0.87517936 -3.79682857 12.42677736]]",,[0.49740333 0.46027537 0.23768869],[ 0.0997557  -0.1088317   0.00050929],[-0.03837577 -0.16648725  0.01871377],"[[0.04694715]
 [0.9967286 ]
 [0.06578799]]",[5.5340083]
54,"[[13.80582814  7.80825057 -0.88318784]
 [ 7.80825057 45.76222558 -3.8188307 ]
 [-0.88318784 -3.8188307  12.43194629]]",,[0.49820085 0.45940749 0.23768186],[ 0.10069444 -0.10953865 -0.00057284],[-0.0384945  -0.16644701  0.01882675],"[[0.05538982]
 [0.99595955]
 [0.07068629]]",[5.50425589]
55,"[[13.81711072  7.82944167 -0.90218497]
 [ 7.82944167 45.73495966 -3.88727254]
 [-0.90218497 -3.88727254 12.44792962]]",,[0.49957765 0.45790496 0.23768166],[ 0.10819304 -0.11993819 -0.00113498],[-0.03857168 -0.16619502  0.01915062],"[[0.04808289]
 [0.99624973]
 [0.07193403]]",[5.45023549]
56,"[[13.83158755  7.85748382 -0.91781629]
 [ 7.85748382 45.70849082 -3.93741846]
 [-0.91781629 -3.93741846 12.45992163]]",,[0.50118862 0.45612938 0.23767069],[ 0.11732952 -0.1292587  -0.0006298 ],[-0.03869248 -0.16599019  0.01938897],"[[0.05223592]
 [0.99607942]
 [0.07139466]]",[5.41913347]
57,"[[13.84694672  7.88693875 -0.93545009]
 [ 7.88693875 45.6792622  -3.99461312]
 [-0.93545009 -3.99461312 12.47379108]]",,[0.50293029 0.45422239 0.23768666],[ 0.11410584 -0.12480064  0.00195945],[-0.03880655 -0.16571399  0.01965492],"[[0.05696843]
 [0.99584346]
 [0.07106617]]",[5.3745619]
58,"[[13.86124311  7.91380547 -0.9550963 ]
 [ 7.91380547 45.64864953 -4.06096673]
 [-0.9550963  -4.06096673 12.49010736]]",,[0.50476222 0.4521825  0.23769625],[ 0.11466913 -0.12747712  0.0004661 ],[-0.03890036 -0.16540016  0.01996171],"[[0.06197515]
 [0.99561725]
 [0.07003832]]",[5.32794211]
59,"[[13.86981993  7.92974509 -0.96769512]
 [ 7.92974509 45.62936508 -4.10391154]
 [-0.96769512 -4.10391154 12.50081498]]",,[0.50662459 0.45011102 0.2377119 ],[ 1.16337712e-01 -1.30373445e-01  7.75304937e-05],[-0.03894381 -0.16515732  0.02015474],"[[0.06510477]
 [0.99510639]
 [0.0743279 ]]",[5.26114036]
60,"[[13.89047046  7.96919222 -0.98743783]
 [ 7.96919222 45.5937672  -4.16249925]
 [-0.98743783 -4.16249925 12.51576234]]",,[0.50832444 0.44821278 0.23772359],[ 0.11016394 -0.12465613  0.00021214],[-0.03911505 -0.16488772  0.02043073],"[[0.07184189]
 [0.99499067]
 [0.06951486]]",[5.24090825]
61,"[[13.90455401  7.99537853 -1.00525653]
 [ 7.99537853 45.56485421 -4.220099  ]
 [-1.00525653 -4.220099   12.53059177]]",,[0.50992122 0.44641009 0.23773134],[ 0.10461758 -0.11843358  0.00110662],[-0.03922336 -0.16466091  0.02070277],"[[0.07627153]
 [0.99461096]
 [0.07022595]]",[5.19969336]
